STATE,State_Name,MAE_S,MSE_S,MAPE_S,MAE_I,MSE_I,MAPE_I,MAE_R,MSE_R,MAPE_R,MAE_5_S,MSE_5_S,MAPE_5_S,MAE_5_I,MSE_5_I,MAPE_5_I,MAE_5_R,MSE_5_R,MAPE_5_R,MAE_10_S,MSE_10_S,MAPE_10_S,MAE_10_I,MSE_10_I,MAPE_10_I,MAE_10_R,MSE_10_R,MAPE_10_R,MAE_15_S,MSE_15_S,MAPE_15_S,MAE_15_I,MSE_15_I,MAPE_15_I,MAE_15_R,MSE_15_R,MAPE_15_R,MAE_30_S,MSE_30_S,MAPE_30_S,MAE_30_I,MSE_30_I,MAPE_30_I,MAE_30_R,MSE_30_R,MAPE_30_R,MAE_45_S,MSE_45_S,MAPE_45_S,MAE_45_I,MSE_45_I,MAPE_45_I,MAE_45_R,MSE_45_R,MAPE_45_R
TT,India,1003285025,1135602405743861632,83,20059515,5170603732451528,20160,984302596,1109096501513235584,54657,110058,51256019992,0,121782,57730571787,19,16581,848184283,9,249814,247420988203,0,211962,160895373763,34,45869,14065227432,13,389202,583807510247,0,279789,263873735342,45,114275,78878853347,13,811047,2413742712498,0,400099,498858319152,63,412970,837667815043,16,1255190,5940578038154,0,459426,614705283922,72,797209,3172393163488,23
AP,Andhra Pradesh,40181835,1837300860145561,83,822988,8605471049775,47502,39416839,1794044013028429,69895,6528,190577273,0,6723,208398730,20,1004,5039669,24,14856,915392960,0,11656,572505013,35,3533,63907497,44,23166,2146867039,0,15351,936596593,47,8122,323080993,23,49052,9016164400,0,22481,1780455977,96,26623,3286501199,56,75815,22548786672,0,25826,2471885161,73,50163,11440611734,20
AS,Assam,25477277,745855419484289,82,513000,3434499029120,49212,24984255,728030838621017,114360,1895,15615668,0,2324,20278110,19,580,1384816,10,4330,73716524,0,4017,54135402,34,1204,5388853,12,7058,182424651,0,5481,92357404,53,2401,23725224,12,14409,772270085,0,7679,172936674,82,7368,250815619,18,21369,1563340479,0,8642,206389491,71,13096,705881576,15
CH,Chandigarh,879974,854318093502,85,18007,3932022986,23701,863912,835110168933,57981,215,279291,0,198,246719,21,69,74084,5,472,1150273,0,358,722498,47,150,161917,13,780,2842110,0,479,1224006,64,325,634263,16,1625,10608772,0,696,2066303,167,934,4284542,23,2475,27518268,0,809,2859517,76,1669,16312874,18
UP,Uttar Pradesh,166523579,31382772805528608,83,3251350,140877199114590,95295,163320387,30634450158005912,169227,4817,183901410,0,5230,193410413,18,1377,16529537,9,11211,906132140,0,9253,547479976,31,2900,120422155,12,17990,2213803583,0,12370,971184402,40,6040,429590320,15,40426,11250723092,0,19220,2613261711,58,21387,3924158395,31,56245,15960144293,0,18328,1507379593,64,38041,10660218732,37
PB,Punjab,22958321,596996342403306,83,456702,2716126010329,142841,22519286,582868452570324,84297,1951,21361893,0,1948,21518195,22,269,381274,13,4392,103036314,0,3410,60729623,52,1072,8453649,19,7054,250869481,0,4630,100640684,109,2479,42179122,21,15901,1089223443,0,7239,198331906,290,8697,428276060,36,23105,2647673491,0,7689,251127440,73,15431,1478652765,20
RJ,Rajasthan,56835150,3665275069898313,83,1123154,16578424487265,39758,55744202,3578234890896790,68143,2678,52966417,0,3318,100664985,19,1003,11523023,14,6312,274708126,0,6037,307226980,33,1651,20305696,25,10026,677092390,0,8081,500251773,43,3086,74342099,21,22457,3045896862,0,11789,1000232537,61,11044,955914245,16,32259,6182810323,0,12776,987236119,69,19983,3417002941,18
GJ,Gujarat,50293420,2860029822724603,83,987826,12880542903454,16530,49330566,2792246191788752,44068,2556,43105032,0,2879,57457872,19,688,3129245,7,5869,216826248,0,5072,165053594,34,1286,13443475,9,9234,520434974,0,6574,273909143,43,2985,67402064,12,19924,2302120162,0,9811,591184539,62,10244,710867915,13,29272,4521040487,0,10665,516673104,71,18785,2600520147,15
HR,Haryana,21364342,505489579985587,85,419039,2267743050499,86741,20964931,493776307849001,115696,2446,45692220,0,2116,36464884,20,490,3326722,2,5584,220921608,0,3652,99780299,37,2008,39655939,4,8659,510966660,0,4851,162911559,51,3868,136509318,8,18417,1876259190,0,6849,295155073,95,11592,908420212,44,29837,5392626970,0,8161,343771687,147,21696,3757857505,69
HP,Himachal Pradesh,5674524,36397129047021,83,114444,166313205306,92109,5567193,35548862114250,188656,685,3176842,0,722,3636925,20,161,156349,2,1569,15802787,0,1267,10564861,37,386,1420088,4,2488,37665658,0,1710,17146942,47,845,6231639,8,5252,143766995,0,2415,25835236,119,2872,64972431,29,8420,438257055,0,2971,46697856,74,5471,247532488,19
